# 特征一,特征二,特征三,原标签,分类结果
40920.000000, 8.326976, 0.953952, 3, 3
14488.000000, 7.153469, 1.673904, 2, 2
26052.000000, 1.441871, 0.805124, 1, 1
75136.000000, 13.147394, 0.428964, 1, 1
38344.000000, 1.669788, 0.134296, 1, 1
72993.000000, 10.141740, 1.032955, 1, 1
35948.000000, 6.830792, 1.213192, 3, 3
42666.000000, 13.276369, 0.543880, 3, 3
67497.000000, 8.631577, 0.749278, 1, 1
35483.000000, 12.273169, 1.508053, 3, 3
50242.000000, 3.723498, 0.831917, 1, 1
63275.000000, 8.385879, 1.669485, 1, 1
5569.000000, 4.875435, 0.728658, 2, 2
51052.000000, 4.680098, 0.625224, 1, 1
77372.000000, 15.299570, 0.331351, 1, 1
43673.000000, 1.889461, 0.191283, 1, 1
61364.000000, 7.516754, 1.269164, 1, 1
69673.000000, 14.239195, 0.261333, 1, 1
15669.000000, 0.000000, 1.250185, 2, 2
28488.000000, 10.528555, 1.304844, 3, 3
6487.000000, 3.540265, 0.822483, 2, 2
37708.000000, 2.991551, 0.833920, 1, 1
22620.000000, 5.297865, 0.638306, 2, 3
28782.000000, 6.593803, 0.187108, 3, 3
19739.000000, 2.816760, 1.686209, 2, 2
36788.000000, 12.458258, 0.649617, 3, 3
5741.000000, 0.000000, 1.656418, 2, 2
28567.000000, 9.968648, 0.731232, 3, 3
6808.000000, 1.364838, 0.640103, 2, 2
41611.000000, 0.230453, 1.151996, 1, 1
36661.000000, 11.865402, 0.882810, 3, 3
43605.000000, 0.120460, 1.352013, 1, 1
15360.000000, 8.545204, 1.340429, 3, 3
63796.000000, 5.856649, 0.160006, 1, 1
10743.000000, 9.665618, 0.778626, 2, 3
70808.000000, 9.778763, 1.084103, 1, 1
72011.000000, 4.932976, 0.632026, 1, 1
5914.000000, 2.216246, 0.587095, 2, 2
14851.000000, 14.305636, 0.632317, 3, 3
33553.000000, 12.591889, 0.686581, 3, 3
44952.000000, 3.424649, 1.004504, 1, 1
17934.000000, 0.000000, 0.147573, 2, 2
27738.000000, 8.533823, 0.205324, 3, 3
29290.000000, 9.829528, 0.238620, 3, 3
42330.000000, 11.492186, 0.263499, 3, 3
36429.000000, 3.570968, 0.832254, 1, 1
39623.000000, 1.771228, 0.207612, 1, 1
32404.000000, 3.513921, 0.991854, 1, 1
27268.000000, 4.398172, 0.975024, 1, 1
5477.000000, 4.276823, 1.174874, 2, 2
14254.000000, 5.946014, 1.614244, 2, 2
68613.000000, 13.798970, 0.724375, 1, 1
41539.000000, 10.393591, 1.663724, 3, 3
7917.000000, 3.007577, 0.297302, 2, 2
21331.000000, 1.031938, 0.486174, 2, 2
8338.000000, 4.751212, 0.064693, 2, 2
5176.000000, 3.692269, 1.655113, 2, 2
18983.000000, 10.448091, 0.267652, 3, 3
68837.000000, 10.585786, 0.329557, 1, 1
13438.000000, 1.604501, 0.069064, 2, 2
48849.000000, 3.679497, 0.961466, 1, 1
12285.000000, 3.795146, 0.696694, 2, 2
7826.000000, 2.531885, 1.659173, 2, 2
5565.000000, 9.733340, 0.977746, 2, 3
10346.000000, 6.093067, 1.413798, 2, 2
1823.000000, 7.712960, 1.054927, 2, 2
9744.000000, 11.470364, 0.760461, 3, 3
16857.000000, 2.886529, 0.934416, 2, 2
39336.000000, 10.054373, 1.138351, 3, 3
65230.000000, 9.972470, 0.881876, 1, 1
2463.000000, 2.335785, 1.366145, 2, 2
27353.000000, 11.375155, 1.528626, 3, 3
16191.000000, 0.000000, 0.605619, 2, 2
12258.000000, 4.126787, 0.357501, 2, 2
42377.000000, 6.319522, 1.058602, 1, 3
25607.000000, 8.680527, 0.086955, 3, 3
77450.000000, 14.856391, 1.129823, 1, 1
58732.000000, 2.454285, 0.222380, 1, 1
46426.000000, 7.292202, 0.548607, 3, 3
32688.000000, 8.745137, 0.857348, 3, 3
64890.000000, 8.579001, 0.683048, 1, 1
8554.000000, 2.507302, 0.869177, 2, 2
28861.000000, 11.415476, 1.505466, 3, 3
42050.000000, 4.838540, 1.680892, 1, 3
32193.000000, 10.339507, 0.583646, 3, 3
64895.000000, 6.573742, 1.151433, 1, 1
2355.000000, 6.539397, 0.462065, 2, 2
0.000000, 2.209159, 0.723567, 2, 2
70406.000000, 11.196378, 0.836326, 1, 1
57399.000000, 4.229595, 0.128253, 1, 1
41732.000000, 9.505944, 0.005273, 3, 3
11429.000000, 8.652725, 1.348934, 3, 3
75270.000000, 17.101108, 0.490712, 1, 1
5459.000000, 7.871839, 0.717662, 2, 2
73520.000000, 8.262131, 1.361646, 1, 1
40279.000000, 9.015635, 1.658555, 3, 3
21540.000000, 9.215351, 0.806762, 3, 3
17694.000000, 6.375007, 0.033678, 2, 2
22329.000000, 2.262014, 1.022169, 1, 2
46570.000000, 5.677110, 0.709469, 1, 1
42403.000000, 11.293017, 0.207976, 3, 3
33654.000000, 6.590043, 1.353117, 1, 3
9171.000000, 4.711960, 0.194167, 2, 2
28122.000000, 8.768099, 1.108041, 3, 3
34095.000000, 11.502519, 0.545097, 3, 3
1774.000000, 4.682812, 0.578112, 2, 2
40131.000000, 12.446578, 0.300754, 3, 3
13994.000000, 12.908384, 1.657722, 3, 3
77064.000000, 12.601108, 0.974527, 1, 1
11210.000000, 3.929456, 0.025466, 2, 2
6122.000000, 9.751503, 1.182050, 3, 3
15341.000000, 3.043767, 0.888168, 2, 2
44373.000000, 4.391522, 0.807100, 1, 3
28454.000000, 11.695276, 0.679015, 3, 3
63771.000000, 7.879742, 0.154263, 1, 1
9217.000000, 5.613163, 0.933632, 2, 2
69076.000000, 9.140172, 0.851300, 1, 1
